"nombre","titulo_comentario","contenido_comentario"
"El mejor ajiaco del mundo","Muy buen ajiaco","No sé si es el mejor, me faltan horas de vuelo para opinar, pero sí que es delicioso, abundante y con una atención amable y rápida. Buena opción a la cola interminable de La puerta falsa."
"El Corral Gourmet","Nos encanta su comida","Es uno de los sitios donde uno puede encontrar no solo buenas hamburguesas sino también una carne muy buena. Las costillas son imoerdibles y el servicio es bueno."
"Pizza 1969","Para todos los gustos!","Un grupo de 20 personas, de gustos muy variados y todos quedamos contentos! Es un lugar agradable, el servicio es bueno!"
"Coctel del Mar","Para los amantes de mar","Es una apuesta exitosa de comida de mar. Pescados y mariscos en sopas, guisos, a la plancha, fritos, gratinados, sushi y demás preparaciones. La calidad es generalmente buena, pero no es sobresaliente. La langosta y la parrillada (los platos más ""suculentos"" de la cara) no...Más"
"Gaudi","Deliciosa paella","La paella muy rica. La sangria deliciosa. Precios muy racionables. 
Hace falta mejorar la atención. 
Postres deliciosos"
"Salto del Angel","club emocionante, buenas bebidas","Salto de Ángel es un gran bar, es un buen lugar para tomar una fecha o en una fecha doble. ni siquiera probar la comida porque estábamos algo divertido bailar toda la noche. No se admiten niños después del anochecer."
"Lina's Sandwiches","Almuerzo","Es una buena opcion para comer saludable. Me gustan las ensaladas y los sandwich. Tienen variedad de platos. Lo que es regular son los tiempos de atencion. Son demorados en servir los platos. Es  buena opcion pero siempre hay que esperar mucho para que sirvan."
"wok","EXCELENTE","Muy buen restaurante, su ubicación es tambien muy buena, estaba haciendo sol asi que nos sentamos en la terraza y fue muy agradable. Las entradas muy ricas lomo a la limonaria, los platos estaban muy ricos y los postres espectaculares. Realmente la comida fue deliciosa,...Más"
"Cacio & Pepe Taverna Italiana","Bastante bien","Un restaurante de comida italiana cumplidor, con buena carta y opciones de vino por copeo. El Osobuco es un plato grande, jugoso, bien elaborado. La panceta  también es recomendable. Precios razonables"
"Fatima Bar and Restaurant","Fátima restauran","Bueno, bonito y barato ! 
Muy buena actitud de quienes atienden.
Un lugar agradable con 2 ambientes, perfecto para ir con amigos. 
Muy buenos precios.
Buena ubicación para quienes nos movemos por la zona."
"La Xarcutería","Top 5 en Hamburguesas","Es un sitio sencillo, con excelentes hamburguesas. La terraza es deliciosa para una buena tarde asoleada. Cualquier versión de las hamburguesas es recomendada."
"Mediterránea de Andrei","Excelente comida, buena relación","Fue una excelente noche; es un restaurante de muy buen gusto, excelente comida y ambiente. La entrada de pulpo baby al ajillo es excelente, los pedacitos de pan que dan de cortesía me parecieron un poco simples, aunque las salsas de tomate verde y rojo...Más"
"El Techo","EXCELENTE AMBIENTE","Es restaurante ubicado en el ultimo piso del centro comercial el retiro tiene una muy buena vista de parte de la ciudad, la comida es deliciosa y el precio acorde a los platos, dentro del restaurante tienen dos ambientes diferentes pero muy agradables, la música...Más"
"Cafe Amarti","Celebración familiar","Un muy buen restaurante, bastante elegante y acogedor, dispone de una buena terraza y permite el ingreso a ella de las mascotas.
El servicio es muy bueno y rápido, la comida es muy buena y bien preparada."
"Salvo Patria","Para probar.","Comida colombiana, de carácter joven y ambiciosa. Muy buenos platos elaborados. Carnes exclentes y postres a tener en cuenta, aspecto ese poco habitual en los restaurantes de Bogotá. Problemas de reservas y horarios. Servicio y cocina jóvenes, activos y abiertos."
"Cacio & Pepe Taverna Italiana","terraza y bun vino","lindo lugar, especialmente su terraza, no dan ganas de irse,  nos fue bien con todo lo que pedimos, nada del otro mundo , pero todo muy fresco ,con sabor a pasta hecha en casa. muy buen servicio y precios un poco subidos de tono,,,,,,,,,,,pero donde...Más"
"Restaurante la Boutique de Las Carnes","Buenas Hamburguesas","La hamburguesa son muy buenas acompañadas con unas papas muy sabrosas. El ambiente y la decoración son sencillas pero con mucho gusto. El personal presta un servicio eficiente y amable. Es un restaurante recomendado para ir y comer sencillo y bien."
"Sagal Steak House","Buena carne!!","El Baby Beef en su punto, el sabor único.  La verdad que no hay nada como una buena carne. El sitio nada especial, la decoración como un restaurante de comida rápida,  pero ha valido la pena. Disfrute de la carne."
"Bagatelle","Disfrutamos de atún fresco a la plancha","Yo había comido en otro restaurante bagatelle y la señora a mi lado tenía el atún a la parrilla sobre espinacas. Cuando visité este restaurante supe que iba a pedir la comida. Buena decisión. Atún preparado correctamente y las espinacas era fresco y cálido. Un...buen zumo de piña gruesas.Más"
"SAN GIORGIO TRATTORIA","¡Buena lugar, buen servicio!","El lugar es muy agradable y el servicio es muy atento. Lo conocía porque me recomendaron mucho su gelato. 

De entrada, pedimos un provolone asado: rico pero nada del otro mundo. De platos fuertes pedimos una lasagna de berenjena y un penne primavera: ricos también...Más"
"Restaurante La Estancia Chica","Muy buena calidad y sabor!","La mejor entraña que he probado sin lugar a duda! Muy buena la sopa de esparragos! La cava un poco limitada pero en general bien."
"DA PEPPE RISTORANTE PIZZERIA","Buen restaurant","Fuimos en familia a almorzar y encontramos mesa al instante, para ser sàbado. La atenciòn fue estupenda, y nos contaron la historia de la cuadra, era un negocio de telas famosas anteriormente. Ordenamos risotto de camarones y risotto de lomito, estaban muy ricos de sabor...Más"
"Restaurante Tipico Italiano Giuseppe Verdi","Abundante","Hace un buen tiempo que no visitaba este restaurante y fue grato recordar la generosidad en abundancia de los platos. Y aun cuando los sabores son buenos no encontramos nada nuevo. La pasta muy buena como siempre, pero a la carne al vino le faltaba...Más"
"Bogotá Beer Company","Gran cerveza de barril y menú","Tienen un gran ambiente y una amplia selección de cervezas de barril de Bogotá. Menú es realmente bueno incluso por los más caprichosos."
"Teriyaki Sushi Bar Gran Estación","Buena comida","Delicioso sushi, variedad de platos y rapidez en la atención. 100% Recomendado para cualquier ocasión."
"Lina's Sandwiches","Almuerzo rápido delicioso Andino","Fui hoy para un almuerzo rápido en Andino. Simplemente perfecto. Fresca, buena, el servicio excelente!
Sólo ve y disfruta!"
"La Fonda Mexicana","Viva México ca/(+@nes!","Delicioso. El ambiente es muy lindo, con decoración mexicana sutil pero muy bonita. La comida deliciosa. Recomendadísimo los chilaquiles en salsa verde. Sin duda volveré"
"Gaspar","Concepto general","Muy buena relación precio, calidad de la comida y atención por parte de todo el staff. El menú es distinto y el cocinero explora diferentes variaciones de platos tradicionales. Destaco el pato desmechado como entrada. Delicioso!"
"Restaurante Daniel","Un lugar para disfrutar la comida y el ambiente","Mezcla de pub inglés y de restaurante internacional, Daniel Dine & Wine ofrece una gran bodega y un amplísimo y exquisito menú.

Muy recomendable."
"Primi","Agradable","Fui a cenar con mis papas y nos atendieron muy bien.  La comida excelente! Aveces es algo lleno y no hay reservas, lo mejor es reservar."
"Salto del Angel","Agradable.","Estuve la noche de un viernes, hay buena música, las bebidas a la carta son bastante novedosas, algunas en base a frutas nativas o propias de Colombia, muchas de ellas muy ricas. El servicio poco lento, quizás por lo ocupado que estaban. En general una...Más"
"M Cocina Árabe","Muy Bueno","Me invitaron a almorzar, éramos tres personas, desde el momento en que entramos nos sentimos muy bien atendidas. El restaurante es muy acogedor la música fantástica, el servicio muy bueno. Pedimos varios platos para compartir, las berenjenas deliciosas, el tahini exquisito, los rollitos de parra...Más"
"M Cocina Árabe","Cocina Árabe en Bogotá","De CARTAGENA llegó a Bogotá M Cocina, un sitio en donde se puede disfrutar de esa gran cocina sirio-libanesa llena de platillos que llevan de fiesta nuestro paladar. 
Recomiendo el quibbe crudo con sus almendras tostadas, los indios, el humus, en fin déjense llevar por...Más"
"Bruto","Delicioso para compartir !!","Fui con mi familia y me parecio delicioso el plan de terraza y compartir platos. Todos deliciosos. La pasta con maricos ingeniosa a mi hijo de 4 le encanto. El rissoto de setas de los mejores que he probado, realmente sabor impregando de setas..La ensalada...Más"
"Restaurante Patria","Muy rico pero sin afán","La comida es deliciosa, pero es importante aclarar que se requiere tiempo porque los platos se demoran. La mejor entrada chicharrones y como plato fuerte ají gallina, el cual  es realmente excelente. La atención es muy buena y los precios son accesibles."
"Dhaba","Buena comida india tradicional","Real india-comida ... gusto especial y tradiciones platos! Gran lugar cerca del centro de la ciudad y siempre lleno"
"Harrys Restaurant","Ambiente más de la comida","El lugar es muy agradable y está muy bien situado, la gente parece disfrutar mucho y son constantemente celebrando, que hace que sea un poco demasiado ruidoso. Entre las personas que puedas encontrar un poco la televisión y celebridades de las artes, y en general,...es una fiesta. La comida está bien, buena calidad y buen servicio, nada para morirse, pero con la combinación del lugar y su atmósfera hacen una gran noche para disfrutar.Más"
"Gaudi","Buena opción","Fuimos con mi familia y nos gustó la paella, muy rica y suficiente.
A mejorar, los tiempos en que llega el pedido, pues aunque no estaba tan lleno el restaurante, se demoraron entre 30 y 40 minutos en traer los platos y la atención de...Más"
"TGI Friday's","Normal","Han bajado la calidad del servicio de suba ya no hay terraza la comida bien las promociones son reales"
"Apache Bar","De las mejores terrazas de Bogotá","💥este sitio es realmente un gran bar, los vinos son deliciosos, buen gin y whiskey con una de las mejores vistas de la cuidad."
"Osaki 118","Deliciosa comida y una excelente atención!","¡Osaki encantó a mi y a mis amigos! La comida estaba deliciosa, muy bien condimentada, bien hecha y fresca. La atención que tuvimos fue excelente. Daniela, la persona que nos ayudó, demostró gran conocimiento de la carta y de las preparaciones. ¡Salimos satisfechos con todo!"
"La Bruja","Muy buen sabor ...","Lugar acogedor con platos variados y de muy buena calidad. Buena opción para almorzar en el centro y celebrar una ocasion especial. 

Las porciones adecuadas y proporcion

ales con el valor, el cual es accesible. Buena atencion y el pan de espinaca es delicioso. Recomendable...Más"
"Crepes & Waffles Bogota El Dorado Airport","Buena lugar para esperar un vuelo.","Para ser un restaurante ubicado en un aeropuerto, funciona con gran eficiencia, la espera por mesa es corta, la carta tiene la calidad que caracteriza a Crepes & Waffles, y el servicio siempre será de los mejores."
"Archie's","Siempre hay Archie's ..,","Menú - gran calidad consistente. Me ha gustado todo lo he probado con la ensalada mexicana y la lasaña bolognesa tanto particularmente bueno."
"La Mar","Delicioso","La mejor comida peruana que he comido... Definitivamente lo recomiendo

Lo único que deben mejorar es el tiempo de atención y de servicio... siento que se demoran mucho aunque al final vale la pena."
"P.F. Chang's","Delicioso!!","Exquisitos platos fuertes ideales para compartir, delicioso sushi y postres especiales! Lugar ideal para celebrar fechas especiales o una cena romantica."
